sorter,arrangement,size,median_nanos
QuickSortIterativeRandom,RAND,18000,3398500
QuickSortIterativeRandom,RAND,19000,3700700
QuickSortIterativeRandom,RAND,20000,3691000
QuickSortIterativeRandom,DESC,0,8600
QuickSortIterativeRandom,DESC,1000,335100
QuickSortIterativeRandom,DESC,2000,485800
QuickSortIterativeRandom,DESC,3000,499700
QuickSortIterativeRandom,DESC,4000,799700
QuickSortIterativeRandom,DESC,5000,891500
QuickSortIterativeRandom,DESC,6000,1316200
QuickSortIterativeRandom,DESC,7000,1562300
QuickSortIterativeRandom,DESC,8000,1506100
QuickSortIterativeRandom,DESC,9000,1356700
QuickSortIterativeRandom,DESC,10000,1420700
QuickSortIterativeRandom,DESC,11000,1584400
QuickSortIterativeRandom,DESC,12000,1794900
QuickSortIterativeRandom,DESC,13000,1780300
QuickSortIterativeRandom,DESC,14000,2083600
QuickSortIterativeRandom,DESC,15000,2025200
QuickSortIterativeRandom,DESC,16000,2095000
QuickSortIterativeRandom,DESC,17000,2236500
QuickSortIterativeRandom,DESC,18000,2369300
QuickSortIterativeRandom,DESC,19000,2606800
QuickSortIterativeRandom,DESC,20000,2845100
QuickSortIterativeWithInSort,ASC,0,300
QuickSortIterativeWithInSort,ASC,1000,3953400
QuickSortIterativeWithInSort,ASC,2000,3489400
QuickSortIterativeWithInSort,ASC,3000,7524300
QuickSortIterativeWithInSort,ASC,4000,13421900
QuickSortIterativeWithInSort,ASC,5000,20473600
QuickSortIterativeWithInSort,ASC,6000,36012900
QuickSortIterativeWithInSort,ASC,7000,41046100
QuickSortIterativeWithInSort,ASC,8000,58348200
QuickSortIterativeWithInSort,ASC,9000,64761000
QuickSortIterativeWithInSort,ASC,10000,61950000
QuickSortIterativeWithInSort,ASC,11000,86429900
QuickSortIterativeWithInSort,ASC,12000,91738800
QuickSortIterativeWithInSort,ASC,13000,114965900
QuickSortIterativeWithInSort,ASC,14000,124256600
QuickSortIterativeWithInSort,ASC,15000,169716900
QuickSortIterativeWithInSort,ASC,16000,202334100
QuickSortIterativeWithInSort,ASC,17000,213801800
QuickSortIterativeWithInSort,ASC,18000,261008500
QuickSortIterativeWithInSort,ASC,19000,246714100
QuickSortIterativeWithInSort,ASC,20000,385819500
QuickSortIterativeWithInSort,RAND,0,300
QuickSortIterativeWithInSort,RAND,1000,505200
QuickSortIterativeWithInSort,RAND,2000,964200
QuickSortIterativeWithInSort,RAND,3000,1095700
QuickSortIterativeWithInSort,RAND,4000,1602500
QuickSortIterativeWithInSort,RAND,5000,3742600
QuickSortIterativeWithInSort,RAND,6000,1575000
QuickSortIterativeWithInSort,RAND,7000,5224400
QuickSortIterativeWithInSort,RAND,8000,2496800
QuickSortIterativeWithInSort,RAND,9000,2720600
QuickSortIterativeWithInSort,RAND,10000,3160400
QuickSortIterativeWithInSort,RAND,11000,2681700
QuickSortIterativeWithInSort,RAND,12000,1847400
QuickSortIterativeWithInSort,RAND,13000,2152500
QuickSortIterativeWithInSort,RAND,14000,2738400
QuickSortIterativeWithInSort,RAND,15000,3062200
QuickSortIterativeWithInSort,RAND,16000,2935200
QuickSortIterativeWithInSort,RAND,17000,2962700
QuickSortIterativeWithInSort,RAND,18000,3027300
QuickSortIterativeWithInSort,RAND,19000,3078700
QuickSortIterativeWithInSort,RAND,20000,4439500
QuickSortIterativeWithInSort,DESC,0,5800
QuickSortIterativeWithInSort,DESC,1000,1580200
QuickSortIterativeWithInSort,DESC,2000,4993800
QuickSortIterativeWithInSort,DESC,3000,12814900
QuickSortIterativeWithInSort,DESC,4000,16396700
QuickSortIterativeWithInSort,DESC,5000,21575900
QuickSortIterativeWithInSort,DESC,6000,29684200
QuickSortIterativeWithInSort,DESC,7000,56277300
